#
# electrodes labels should be upper case by definition to allow a proper matching of electrodes and channel labels.
# File generated by electrodes export feature.
#
# 256 electrodes
NumberPositions=	256
UnitPosition	mm
HSPTransformed	false
Positions
Z14R:	-78.9	-24.2	89.6	
Z17R:	-91.3	-24.9	38.2	
Z15R:	-84.9	-24.1	73.2	
Z16R:	-89.6	-23.5	53.2	
Z18R:	-92.6	-24.2	22.5	
Z19R:	-95.0	-20.6	3.4	
R1Z :	103.5	-37.1	41.3	
R2Z :	101.6	-39.0	56.4	
R3Z :	98.1	-37.3	74.6	
R4Z :	90.7	-36.1	91.1	
R5Z :	79.4	-35.5	104.8	
R6Z :	63.2	-30.8	117.6	
R7Z :	47.5	-29.7	126.3	
R8Z :	30.2	-31.5	134.6	
R9Z :	13.3	-31.0	139.7	
R10Z:	-8.0	-32.5	141.6	
R11Z:	-24.7	-32.7	139.3	
R12Z:	-42.3	-37.1	128.9	
R13Z:	-57.8	-38.0	116.5	
R14Z:	-69.3	-38.7	100.1	
R15Z:	-76.6	-40.5	84.1	
R16Z:	-82.7	-40.6	66.8	
R17Z:	-85.8	-40.4	50.1	
R18Z:	-88.2	-40.3	33.3	
R19Z:	-89.5	-40.2	16.8	
R20Z:	-90.1	-34.8	-4.2	
R1R :	94.0	-54.1	42.7	
R2R :	92.9	-52.7	60.8	
R3R :	88.1	-50.2	79.7	
R4R :	79.6	-47.5	95.0	
R5R :	67.1	-44.1	109.6	
R6R :	50.6	-43.2	118.5	
R7R :	38.2	-42.7	125.4	
R8R :	21.5	-43.7	132.2	
R9R :	2.4	-46.6	135.0	
R10R:	-13.2	-48.3	134.8	
R11R:	-28.6	-50.7	128.7	
R12R:	-45.0	-50.1	118.5	
R13R:	-58.9	-52.0	106.0	
R14R:	-65.9	-53.8	90.0	
R15R:	-72.1	-53.4	73.5	
R16R:	-75.8	-53.4	57.0	
R17R:	-79.1	-52.4	38.9	
R18R:	-80.3	-52.0	21.6	
R19R:	-81.0	-50.8	4.8	
R1A :	51.8	-54.4	109.5	
R2A :	31.4	-57.2	118.5	
R3A :	13.1	-61.6	122.4	
R4A :	-5.7	-62.7	124.5	
R5A :	-22.9	-64.4	120.1	
R6A :	-43.9	-62.0	110.8	
R1B :	62.8	-58.3	98.3	
R2B :	44.1	-64.2	104.0	
R3B :	23.9	-71.1	109.2	
R4B :	5.4	-75.7	112.1	
R5B :	-14.8	-75.2	111.0	
R6B :	-32.0	-73.2	107.8	
R7B :	-51.1	-64.3	98.7	
R1C :	70.3	-64.3	83.1	
R2C :	53.0	-71.2	87.6	
R3C :	33.9	-78.2	91.5	
R4C :	15.7	-84.1	95.4	
R5C :	-4.7	-84.9	95.1	
R6C :	-25.2	-82.5	92.4	
R7C :	-42.7	-75.2	88.2	
R8C :	-57.9	-66.4	82.6	
R1D :	73.6	-68.2	68.2	
R2D :	57.6	-73.9	71.1	
R3D :	41.4	-81.4	73.5	
R4D :	23.0	-86.3	78.2	
R5D :	4.5	-88.8	78.3	
R6D :	-12.6	-88.0	75.7	
R7D :	-30.4	-83.7	73.4	
R8D :	-45.7	-77.7	65.9	
R9D :	-59.0	-69.9	64.1	
R1E :	79.3	-66.0	47.8	
R2E :	63.1	-75.3	54.1	
R3E :	47.0	-81.8	55.8	
R4E :	32.1	-86.2	60.5	
R5E :	13.5	-89.4	62.5	
R6E :	-3.2	-91.1	61.0	
R7E :	-19.1	-88.5	57.5	
R8E :	-35.3	-83.8	52.3	
R9E :	-50.7	-76.8	47.0	
R10E:	-64.6	-66.6	45.4	
R1F :	67.4	-71.1	32.9	
R2F :	54.3	-78.5	39.9	
R3F :	37.1	-84.5	42.8	
R4F :	19.5	-87.2	43.5	
R5F :	-14.2	-87.2	36.0	
R6F :	-31.0	-83.4	36.2	
R7F :	-46.6	-76.7	31.3	
R8F :	-60.3	-69.6	27.0	
R1G :	62.9	-70.9	17.9	
R2G :	51.8	-75.9	19.6	
R3G :	38.7	-81.5	25.8	
R4G :	23.8	-84.4	29.5	
R5G :	-24.8	-81.2	22.0	
R6G :	-44.0	-77.2	15.0	
R7G :	-59.1	-68.7	13.0	
R1H :	53.8	-73.0	1.4	
